id,Name,Country,Language,Population,Geography,Settlement Level,Settlement Type,Food Production,Fuel Production
1,Keenesia,Fama and Fortuna,English,29370,Forest,5,City,2500000,1000000
2,Forbes,Titania,English,150733,Plains,6,Large City,7500000,1000000
3,Griswold,Titania,English,180234,Plains,7,Metropolis,7500000,5000000
4,Addisonia,Titania,English,110254,Plains,6,Large City,7500000,1000000
5,Trinita,Titania,English,123547,Plains,6,Large City,7500000,1000000
6,Amdota,Titania,English,164253,Plains,7,Metropolis,7500000,75000000
7,Wellen,Titania,English,13450,Forest,4,Large Town,2500000,75000000
8,Magadh,Titania,English,6200,Forest,3,Town,2500000,75000000
9,Northerborders,Titania,Scotch,2000,Forest,3,Town,2500000,1000000
10,Churchill,Titania,English,14660,Plains,5,City,7500000,5000000
11,Salmon Brook,Titania,English,14007,Plains,5,City,7500000,5000000
12,Hubbardeen,Titania,English,8004,Plains,4,Large Town,7500000,5000000
13,Sulle,Titania,English,4890,Plains,3,Town,7500000,1000000
14,Bellebron,Titania,English,6430,Forest,3,Town,2500000,75000000
15,Westsonia,Titania,English,5788,Forest,3,Town,2500000,75000000
16,Smithsonia,Titania,Scotch,5200,Forest,3,Town,2500000,1000000
17,Neipsican,Titania,English,4087,Plains,2,Village,7500000,5000000
18,Stappelgrad,Titania,Chambrish,35055,Forest,2,Village,2500000,75000000
19,Novtochka (Новточка),Meehanistan,Scotch,8100,Forest,2,Village,2500000,1000000
20,Avarov (Аваров),Meehanistan,Scotch,7543,Forest,2,Village,2500000,1000000
21,Zelegrad(Зелеград),Meehanistan,Stonish,7890,Forest,2,Village,2500000,1000000
22,Lesia(Лесия),Meehanistan,Stonish,2456,Forest,2,Village,2500000,1000000
23,Gori(Гори),Meehanistan,Stonish,3670,Forest,2,Village,2500000,1000000
24,Granitov(Гранитов),Meehanistan,Scotch,30134,Forest,2,Village,2500000,1000000
25,Al-Khaba(Ал-Хаба),Meehanistan,Scotch,2908,Forest,2,Village,2500000,1000000
26,Aran(Аран),Meehanistan,Scotch,10210,Forest,2,Village,2500000,1000000
27,Al-Sinia(Ал-Синия),Meehanistan,Scotch,2645,Forest,3,Town,2500000,1000000
28,Medva (Медва),Meehanistan,Stonish,9091,Forest,3,Town,2500000,1000000
29,Al-Ramil(Ал-Рамил),Meehanistan,Stonish,7832,Forest,3,Town,2500000,1000000
30,Bogograd (Богоград),Meehanistan,Scotch,27870,Forest,4,Large town,2500000,1000000
31,Port Murphy(Порт-Мурфскии),Meehanistan,Scotch,78936,Forest,3,Town,2500000,1000000
32,Gallia(Галия),Meehanistan,Scotch,5200,Forest,2,Village,2500000,1000000
33,Shotskya(Шоцскйя),Meehanistan,Scotch,4560,Forest,2,Village,2500000,1000000
34,Gortoz(Гортоз),Meehanistan,Scotch,12098,Plains,3,Town,7500000,1000000
35,Al-Tashkil(Ал-Ташкил),Meehanistan,Scotch,34678,Plains,5,City,7500000,1000000
36,Arbat(Арбат),Meehanistan,Stonish,30080,Plains,5,City,7500000,1000000
37,Khankala (Ханкала),Meehanistan,Stonish,14300,Plains,4,Large town,7500000,1000000
38,Zalivgrad(Заливград),Meehanistan,Scotch,21891,Forest,3,Town,2500000,1000000
39,Keltigrsd (Келтиград),Meehanistan,Stonish,37789,Forest,3,Town,2500000,1000000
40,Torograd (Тороград),Meehanistan,Scotch,13765,Plains,2,Village,7500000,1000000
41,Zolo (Золо),Meehanistan,Scotch,4210,Plains,2,Village,7500000,1000000
42,Krova (Крова),Meehanistan,Scotch,5004,Plains,3,Town,7500000,1000000
43,Balmoralgrad (Балморалград),Meehanistan,Stonish,82345,Plains,6,Large city,7500000,1000000
44,Slavonia (Славония)),Meehanistan,Stonish,41203,Plains,4,Large town,7500000,1000000
45,Al-Kali(Ал-Халии),Meehanistan,Stonish,12110,Plains,4,Large town,7500000,1000000
46,Goratov (Горатов),Meehanistan,Stonish,3004,Bog,2,Village,0,75000000
47,Surgorod(Суроград),Meehanistan,Stonish,22098,Bog,3,Town,0,75000000
48,Deltagrad (Делтаград),Meehanistan,Stonish,39045,Plains,4,Large town,7500000,1000000
49,Bolotka (болотка),Meehanistan,Stonish,15777,Bog,2,Village,0,75000000
50,Maslov(Маслов),Meehanistan,Stonish,3097,Bog,3,Town,0,75000000
51,Rekigrad(Рекиград),Meehanistan,Stonish,12456,Bog,3,Town,0,75000000
52,Laiftezamljá,Chambria,Chambrish,858,Plains,2,Vilage,7500000,1000000
53,Salvacna,Chambria,Chambrish,979,Plains,2,Village,7500000,1000000
54,Šámbriskograd,Chambria,Chambrish,16145,Plains,5,City,7500000,1000000
55,Grandobrat,Chambria,Chambrish,9906,Plains,4,Large Town,7500000,1000000
56,Málinkobrat,Chambria,Chambrish,1723,Plains,3,Town,7500000,1000000
57,Vulkán (Волкан),Meehanistan,Chambrish,9807,Plains,4,Large Town,7500000,1000000
58,Tsargrad,Bouldaria,Stonish,1272,Plains,3,Town,7500000,1000000
59,Kanongrad,Bouldaria,Stonish,4240,Plains,3,Town,7500000,1000000
60,Unitsk,Bouldaria,Stonish,1837,Plains,3,Town,7500000,1000000
61,Wesselgrad,Bouldaria,Stonish,6776,Mountains,4,Large Town,0,1000000
62,Veverichka,Bouldaria,Stonish,9812,Plains,4,Large Town,7500000,1000000
63,Chernograd,Bouldaria,Stonish,5410,Plains,4,Large Town,7500000,1000000
64,Zofia,Bouldaria,Stonish,54115,Mountains,6,Large City,0,1000000
65,Crest,Brazealian Guinea,English,799,Forest,2,Village,0,1000000
66,Texel,Brazealian Guinea,English,738,Forest,2,Village,2500000,1000000
67,Abyssinia,Brazealian Guinea,English,701,Forest,2,Village,2500000,1000000
68,Peruvia,Brazealian Guinea,English,840,Forest,2,Village,2500000,1000000
69,Sheltie,Brazealian Guinea,English,1032,Forest,3,Town,2500000,1000000
70,Rex,Brazealian Guinea,English,1751,Forest,3,Town,2500000,1000000
71,Himalay,Brazealian Guinea,English,10772,Forest,5,City,2500000,1000000
72,Cuy,Brazealian Guinea,English,689,Forest,3,Town,2500000,1000000
73,Michelia,Brazealian Guinea,English,18995,Forest,5,City,2500000,1000000
74,Cochon d'Inde,Brazealian Guinea,English,46334,Forest,5,City,2500000,1000000
75,Coronet,Brazealian Guinea,English,899,Forest,2,Village,2500000,1000000
76,Merino,Brazealian Guinea,English,332,Forest,1,Frontier,2500000,1000000
77,Paris,Brazealian Guinea,English,10931,Forest,5,City,2500000,1000000
78,Dam,Brazealian Guinea,English,2206,Forest,3,Town,2500000,1000000
79,Conway,Brazealian Guinea,English,3193,Forest,3,Town,2500000,1000000
80,Stars Hollow,Brazealian Guinea,English,4433,Forest,3,Town,2500000,1000000
81,Lochlied,Scotchland,Scotch,38913,Plains,5,City,8752871,5000000
82,Edinburl,Scotchland,Scotch,101982,Mountains,7,Metropolis,0,7260816
83,Angus,Scotchland,Scotch,1554,Mountains,3,Town,0,5000000
84,Invictia,Scotchland,Scotch,47043,Mountains,5,City,0,5364026
85,Buckingham,Scotchland,Scotch,4705,Plains,3,Town,7500000,5000000
86,Llanfairpwllgwyngyllgogerychwyrndrobwllllantysiliogogogoch,Scotchland,Scotch,8638,Plains,4,Large Town,9265343,5000000
87,New Dublin,Scotchland,Scotch,9244,Mountains,4,Large Town,0,4288787
88,Glaskow,Scotchland,Scotch,2162,Mountains,3,Town,0,5000000
89,Holyhead,Scotchland,Scotch,1155,Mountains,3,Town,0,5000000
90,San Masterano,Scotchland,Scotch,52146,Mountains,6,Large City,0,5000000
91,Talbottown,Scotchland,Scotch,26455,Mountains,5,City,0,5000000
92,Moria,Scotchland,Scotch,66720,Mountains,6,Large City,0,5000000
93,Bulwark,Scotchland,Scotch,17993,Plains,5,City,9885072,5000000
94,Hochburg,Scotchland,Scotch,8533,Plains,4,Large Town,7500000,5000000
95,Skibreen,Scotchland,Scotch,1436,Plains,3,Town,7500000,5000000
96,Ryandale,Scotchland,Scotch,40461,Mountains,5,City,0,5000000
97,Galgara,Scotchland,Scotch,2612,Mountains,3,Town,0,5000000
98,New Cambridge,Scotchland,Scotch,10347,Plains,5,City,0,5000000
99,Celtiskoi,Meehanistan,Stonish,1045,Bog,2,Village,0,75000000
100,Grenzgorod,Meehanistan,Stonish,883,Bog,2,Village,0,75000000
101,Farmajograd,Meehanistan,Stonish,9608,Bog,4,Large Town,0,75000000
102,Surokelsk,Meehanistan,Stonish,879,Bog,2,Village,0,75000000
103,Tomsk,Meehanistan,Stonish,3914,Bog,3,Town,0,75000000
104,Stantsov,Meehanistan,Stonish,8143,Bog,4,Large Town,0,75000000
105,Szalba,Meehanistan,Stonish,792,Bog,2,Village,0,75000000
106,Brensk,Meehanistan,Stonish,38987,Bog,2,Village,0,75000000
107,Garyansk,Meehanistan,Stonish,1831,Bog,3,Town,0,75000000
108,Popolgrad,Meehanistan,Stonish,10220,Bog,5,City,0,75000000
109,Sebersk,Meehanistan,Stonish,1608,Bog,3,Town,0,75000000
110,Chewpol,Meehanistan,Stonish,2617,Bog,3,Town,0,75000000
111,Brennangrad,Gormanistan,Stonish,73473,Forest,6,Large City,2500000,1000000
112,Tijiskoi,Meehanistan,Stonish,48636,Bog,5,City,0,75000000
113,Potok,Gormanistan,Stonish,5364,Forest,4,Large Town,2500000,1000000
114,Ossetska,Gormanistan,Stonish,1141,Forest,3,Town,2500000,1000000
115,Buryov,Gormanistan,Stonish,612,Mountains,2,Village,0,1000000
116,Novobronsk,Gormanistan,Stonish,855,Mountains,2,Village,0,1000000
117,Longostrov,Gormanistan,Stonish,4684,Forest,3,Town,2500000,1000000
118,Yablecki,Gormanistan,Stonish,2281,Forest,3,Town,2500000,1000000
119,Postolov,Gormanistan,Stonish,1887,Mountains,3,Town,0,1000000
120,Dushmanov,Gormanistan,Stonish,5923,Mountains,4,Large Town,0,1000000
